Date,Close,Open,High,Low,Volume
18-07-22,"29,600.00","29,700.00","30,800.00","29,600.00",2.36M
15-07-22,"29,800.00","30,200.00","30,900.00","29,800.00",4.17M
14-07-22,"30,050.00","28,100.00","30,050.00","27,850.00",5.14M
13-07-22,"28,100.00","28,900.00","28,900.00","28,050.00",2.91M
12-07-22,"28,500.00","27,550.00","28,550.00","27,500.00",2.96M
11-07-22,"27,650.00","28,950.00","28,950.00","27,550.00",3.65M
08-07-22,"28,650.00","27,700.00","28,650.00","27,500.00",3.89M
07-07-22,"27,000.00","26,200.00","27,400.00","25,700.00",4.10M
06-07-22,"26,450.00","27,100.00","28,500.00","26,450.00",5.63M
05-07-22,"28,400.00","30,400.00","30,750.00","28,100.00",6.76M
04-07-22,"32,000.00","31,900.00","32,500.00","31,650.00",3.14M
01-07-22,"31,500.00","32,100.00","32,600.00","30,800.00",3.24M
30-06-22,"32,750.00","33,000.00","33,450.00","32,600.00",3.95M
29-06-22,"32,300.00","32,100.00","33,000.00","30,200.00",6.40M
28-06-22,"31,850.00","33,000.00","34,400.00","31,300.00",9.40M
27-06-22,"33,500.00","36,000.00","36,850.00","33,500.00",6.10M
24-06-22,"36,000.00","35,950.00","36,900.00","35,200.00",2.89M
23-06-22,"35,450.00","32,500.00","35,450.00","32,000.00",5.92M
22-06-22,"34,250.00","36,800.00","37,200.00","34,250.00",5.57M
